	time	latitude	longitude	depth	mag	magType	nst	gap	dmin	rms	net	id	updated	place	type	horizontalError	depthError	magError	magNst	status	locationSource	magSource
989	1996-10-22T04:10:20.740Z	51.403	-177.588	33.0	4.7	mb				1.24	us	usp0007rrz	2014-11-07T01:01:24.393Z	Andreanof Islands, Aleutian Islands, Alaska	earthquake				16.0	reviewed	us	us
990	1996-10-22T00:59:28.600Z	-37.809	176.929	150.0	4.9	mb				0.9	us	usp0007rrv	2014-11-07T01:01:24.376Z	North Island of New Zealand	earthquake				1.0	reviewed	us	us
991	1996-10-21T23:32:19.300Z	21.152	144.433	100.0	4.8	mb				1.08	us	usp0007rru	2014-11-07T01:01:24.373Z	Mariana Islands region	earthquake				6.0	reviewed	us	us
992	1996-10-21T22:46:19.860Z	13.179	144.959	53.5	4.5	mb				0.93	us	usp0007rrt	2014-11-07T01:01:24.371Z	Guam region	earthquake		6.9		5.0	reviewed	us	us
993	1996-10-21T20:04:34.010Z	-12.621	114.833	10.0	4.5	mb				1.49	us	usp0007rrp	2014-11-07T01:01:24.358Z	northwest of Australia	earthquake				8.0	reviewed	us	us
994	1996-10-21T19:33:01.380Z	-19.231	-177.35	500.0	5.6	mwc				1.07	us	usp0007rrn	2016-11-09T23:46:33.677Z	Fiji region	earthquake					reviewed	us	hrv
995	1996-10-21T17:15:26.220Z	18.471	121.326	33.0	4.5	mb				0.51	us	usp0007rrk	2014-11-07T01:01:24.326Z	Luzon, Philippines	earthquake				4.0	reviewed	us	us
996	1996-10-21T14:46:33.840Z	10.374	126.311	33.0	4.6	mb				0.71	us	usp0007rre	2014-11-07T01:01:24.318Z	Philippine Islands region	earthquake				1.0	reviewed	us	us
997	1996-10-21T06:00:48.690Z	34.458	32.3	33.0	5.0	mb				1.0	us	usp0007rr4	2014-11-07T01:01:24.286Z	Cyprus region	earthquake				63.0	reviewed	us	us
998	1996-10-21T03:20:21.480Z	12.65	40.446	33.0	4.8	mb				0.91	us	usp0007rr2	2014-11-07T01:01:24.276Z	Ethiopia	earthquake				37.0	reviewed	us	us
999	1996-10-21T02:59:13.050Z	8.02	126.871	33.0	4.6	mb				1.17	us	usp0007rr1	2014-11-07T01:01:24.273Z	Mindanao, Philippines	earthquake				10.0	reviewed	us	us
1000	1996-10-20T19:20:46.750Z	0.309	126.411	55.2	4.9	mb				0.86	us	usp0007rqm	2014-11-07T01:01:24.232Z	Molucca Sea	earthquake		13.0		13.0	reviewed	us	us
1001	1996-10-20T15:00:02.690Z	42.808	17.815	10.0	4.5	mb				1.3	us	usp0007rqc	2014-11-07T01:01:24.190Z	Croatia	earthquake				7.0	reviewed	us	us
1002	1996-10-20T14:20:26.870Z	-4.914	129.153	254.0	4.7	mb				0.97	us	usp0007rqb	2014-11-07T01:01:24.187Z	Banda Sea	earthquake		7.5		10.0	reviewed	us	us
1003	1996-10-20T11:38:11.350Z	-0.508	126.741	149.2	4.5	mb				0.98	us	usp0007rq4	2014-11-07T01:01:24.170Z	Molucca Sea	earthquake		27.4		7.0	reviewed	us	us
1004	1996-10-20T09:39:37.880Z	-48.022	31.868	10.0	4.7	mb				1.09	us	usp0007rq3	2014-11-07T01:01:24.168Z	south of Africa	earthquake				6.0	reviewed	us	us
1005	1996-10-19T23:06:43.610Z	16.496	-94.312	85.3	4.6	mb				0.96	us	usp0007rpq	2014-11-07T01:01:24.109Z	Oaxaca, Mexico	earthquake				43.0	reviewed	us	us
1006	1996-10-19T21:27:41.710Z	2.878	126.813	33.0	4.5	mb				1.23	us	usp0007rpm	2014-11-07T01:01:24.103Z	Molucca Sea	earthquake				10.0	reviewed	us	us
1007	1996-10-19T21:17:48.630Z	31.732	131.593	33.0	5.6	mwc				1.04	us	usp0007rph	2020-01-03T21:26:56.584Z	Kyushu, Japan	earthquake					reviewed	us	hrv
1008	1996-10-19T21:09:41.930Z	-6.305	104.724	61.5	4.9	mb				1.14	us	usp0007rpf	2014-11-07T01:01:24.077Z	Sunda Strait, Indonesia	earthquake		17.8		16.0	reviewed	us	us
1009	1996-10-19T19:25:08.020Z	31.827	131.912	33.0	4.7	mb				1.46	us	usp0007rpb	2014-11-07T01:01:24.061Z	Kyushu, Japan	earthquake				9.0	reviewed	us	us
1010	1996-10-19T18:45:28.710Z	20.216	122.322	33.0	4.7	mb				1.35	us	usp0007rp8	2014-11-07T01:01:24.053Z	Batan Islands region, Philippines	earthquake				13.0	reviewed	us	us
1011	1996-10-19T15:44:12.920Z	9.888	126.333	33.0	4.8	mb				0.81	us	usp0007rp3	2014-11-07T01:01:24.044Z	Mindanao, Philippines	earthquake				16.0	reviewed	us	us
1012	1996-10-19T14:53:48.780Z	-20.412	-178.51	590.8	6.9	mwc				0.82	us	usp0007rp1	2016-11-10T00:49:29.006Z	Fiji region	earthquake					reviewed	us	hrv
1013	1996-10-19T14:44:40.790Z	31.885	131.468	22.0	6.7	mwc				1.02	us	usp0007rp0	2020-02-06T19:42:10.609Z	Kyushu, Japan	earthquake					reviewed	us	hrv
1014	1996-10-19T14:01:03.900Z	31.959	131.615	33.0	5.7	mwc				1.15	us	usp0007rnz	2020-01-03T21:26:42.331Z	Kyushu, Japan	earthquake					reviewed	us	hrv
1015	1996-10-19T10:33:07.650Z	9.802	126.217	33.0	5.0	mb				1.03	us	usp0007rnn	2014-11-07T01:01:23.904Z	Mindanao, Philippines	earthquake				21.0	reviewed	us	us
1016	1996-10-19T08:31:49.820Z	31.84	131.804	33.0	5.5	mwc				1.25	us	usp0007rng	2020-01-03T21:26:28.434Z	Kyushu, Japan	earthquake					reviewed	us	hrv
1017	1996-10-19T08:00:09.800Z	31.697	131.964	33.0	4.6	mb				1.83	us	usp0007rne	2014-11-07T01:01:23.855Z	Kyushu, Japan	earthquake				1.0	reviewed	us	us
1018	1996-10-19T06:51:31.840Z	-8.65	-76.058	134.6	4.7	mb				0.83	us	usp0007rnb	2014-11-07T01:01:23.836Z	central Peru	earthquake				9.0	reviewed	us	us
1019	1996-10-19T05:03:26.540Z	30.407	131.268	36.9	4.7	mb				1.11	us	usp0007rn7	2014-11-07T01:01:23.827Z	Kyushu, Japan	earthquake		6.9		8.0	reviewed	us	us
1020	1996-10-19T03:07:16.320Z	31.861	131.802	33.0	4.7	mb				1.49	us	usp0007rn3	2014-11-07T01:01:23.812Z	Kyushu, Japan	earthquake				18.0	reviewed	us	us
1021	1996-10-19T02:16:38.110Z	32.488	141.767	33.0	4.5	mb				1.38	us	usp0007rn1	2014-11-07T01:01:23.808Z	Izu Islands, Japan region	earthquake				4.0	reviewed	us	us
1022	1996-10-18T23:49:13.550Z	61.611	-146.379	39.8	4.7	mb					us	usp0007rmv	2014-11-07T01:01:23.786Z	Southern Alaska	earthquake				3.0	reviewed	aeic	us
1023	1996-10-18T22:35:22.330Z	-8.556	118.427	132.4	4.6	mb				1.28	us	usp0007rmr	2014-11-07T01:01:23.777Z	Sumbawa region, Indonesia	earthquake		10.8		10.0	reviewed	us	us
1024	1996-10-18T19:38:23.250Z	9.861	126.374	33.0	5.1	mb				0.94	us	usp0007rmn	2014-11-07T01:01:23.765Z	Mindanao, Philippines	earthquake				26.0	reviewed	us	us
1025	1996-10-18T17:35:06.320Z	-17.956	-178.277	550.0	4.9	mb				0.86	us	usp0007rmd	2014-11-07T01:01:23.744Z	Fiji region	earthquake				9.0	reviewed	us	us
1026	1996-10-18T17:34:53.030Z	-62.141	165.014	10.0	5.5	mwc				0.87	us	usp0007rmc	2016-11-09T23:45:10.401Z	Balleny Islands region	earthquake					reviewed	us	hrv
1027	1996-10-18T16:44:47.910Z	33.685	137.403	337.5	5.6	mwb				0.9	us	usp0007rmb	2016-11-09T23:45:09.903Z	near the south coast of Honshu, Japan	earthquake					reviewed	us	us
1028	1996-10-18T15:26:58.050Z	-52.974	21.862	10.0	5.3	mwc				1.25	us	usp0007rm5	2016-11-09T23:45:09.410Z	south of Africa	earthquake					reviewed	us	hrv
1029	1996-10-18T15:21:42.970Z	20.699	122.047	33.0	4.6	mb				1.11	us	usp0007rm4	2014-11-07T01:01:23.693Z	Batan Islands region, Philippines	earthquake				4.0	reviewed	us	us
1030	1996-10-18T13:41:03.430Z	-32.436	-70.041	121.5	5.2	mb				0.87	us	usp0007rm2	2014-11-07T01:01:23.664Z	Mendoza, Argentina	earthquake				24.0	reviewed	us	us
1031	1996-10-18T11:19:18.600Z	0.389	126.221	44.0	5.8	mwc				0.93	us	usp0007rkw	2016-11-10T00:49:23.821Z	Molucca Sea	earthquake		4.9			reviewed	us	hrv
1032	1996-10-18T11:12:08.360Z	30.436	131.393	10.0	4.7	mb				1.17	us	usp0007rkv	2014-11-07T01:01:23.636Z	Kyushu, Japan	earthquake				7.0	reviewed	us	us
1033	1996-10-18T10:50:20.860Z	30.568	131.093	10.0	6.6	mwc				1.21	us	usp0007rku	2020-01-03T21:26:09.647Z	Kyushu, Japan	earthquake					reviewed	us	hrv
1034	1996-10-18T09:26:03.620Z	27.695	57.573	33.0	5.4	mwc				0.93	us	usp0007rkq	2016-11-09T23:45:08.861Z	southern Iran	earthquake					reviewed	us	hrv
1035	1996-10-18T08:45:43.680Z	-28.745	-176.859	33.0	4.6	mb				0.84	us	usp0007rkn	2014-11-07T01:01:23.564Z	Kermadec Islands region	earthquake				10.0	reviewed	us	us
1036	1996-10-18T07:06:39.750Z	-6.307	104.56	86.0	4.7	mb				1.1	us	usp0007rkm	2014-11-07T01:01:23.560Z	Sunda Strait, Indonesia	earthquake		13.9		7.0	reviewed	us	us
1037	1996-10-18T06:25:17.150Z	-20.188	-178.313	550.0	4.9	mb				0.94	us	usp0007rkj	2014-11-07T01:01:23.551Z	Fiji region	earthquake				15.0	reviewed	us	us
1038	1996-10-18T05:04:03.050Z	-5.949	148.708	61.7	5.4	mwc				0.98	us	usp0007rkh	2016-11-09T23:45:08.353Z	New Britain region, Papua New Guinea	earthquake					reviewed	us	hrv
1039	1996-10-18T03:59:13.050Z	11.848	126.222	33.0	4.9	mb				1.29	us	usp0007rkf	2014-11-07T01:01:23.538Z	Philippine Islands region	earthquake				13.0	reviewed	us	us
1040	1996-10-18T03:14:04.390Z	-7.083	155.42	33.0	5.5	mwc				1.04	us	usp0007rkc	2020-01-03T21:25:56.401Z	Solomon Islands	earthquake					reviewed	us	hrv
1041	1996-10-18T01:03:27.870Z	-9.664	108.617	33.0	4.6	mb				1.12	us	usp0007rka	2014-11-07T01:01:23.520Z	south of Java, Indonesia	earthquake				11.0	reviewed	us	us
1042	1996-10-17T20:53:27.480Z	-25.71	-70.31	65.5	4.8	mb				0.88	us	usp0007rk5	2014-11-07T01:01:23.511Z	Antofagasta, Chile	earthquake				6.0	reviewed	us	us
1043	1996-10-17T19:42:37.590Z	11.768	-86.81	33.0	4.6	mb				1.4	us	usp0007rk2	2014-11-07T01:01:23.504Z	near the coast of Nicaragua	earthquake				1.0	reviewed	us	us
1044	1996-10-17T19:12:36.930Z	11.482	-87.174	33.0	4.8	mb				0.93	us	usp0007rk1	2014-11-07T01:01:23.501Z	near the coast of Nicaragua	earthquake				6.0	reviewed	us	us
1045	1996-10-17T19:09:07.020Z	56.614	-34.284	10.0	4.5	mb				0.91	us	usp0007rk0	2014-11-07T01:01:23.497Z	Reykjanes Ridge	earthquake				23.0	reviewed	us	us
1046	1996-10-17T18:20:41.330Z	5.771	95.427	33.0	4.8	mb				1.2	us	usp0007rjy	2014-11-07T01:01:23.490Z	northern Sumatra, Indonesia	earthquake				3.0	reviewed	us	us
1047	1996-10-17T16:38:07.870Z	21.929	98.982	33.0	4.7	mb				0.7	us	usp0007rju	2014-11-07T01:01:23.446Z	Myanmar	earthquake				33.0	reviewed	us	us
1048	1996-10-17T16:36:35.840Z	-28.048	-177.12	33.0	4.5	mb				0.82	us	usp0007rjt	2014-11-07T01:01:23.443Z	Kermadec Islands region	earthquake				2.0	reviewed	us	us
1049	1996-10-17T16:15:25.750Z	5.704	125.945	116.8	6.0	mwc				1.13	us	usp0007rjs	2020-01-03T21:25:39.653Z	Mindanao, Philippines	earthquake					reviewed	us	hrv
1050	1996-10-17T15:38:20.980Z	60.113	-152.953	117.1	5.5	mwc					us	usp0007rjq	2016-11-09T23:44:35.113Z	Southern Alaska	earthquake					reviewed	aeic	hrv
1051	1996-10-17T15:24:05.720Z	30.564	131.177	37.5	5.1	mwc				0.98	us	usp0007rjp	2016-11-09T23:44:34.528Z	Kyushu, Japan	earthquake					reviewed	us	hrv
1052	1996-10-17T15:05:40.920Z	-31.676	-71.686	33.0	4.5	md				1.31	us	usp0007rjn	2014-11-07T01:01:23.375Z	offshore Coquimbo, Chile	earthquake					reviewed	us	san
1053	1996-10-17T15:01:30.910Z	-6.861	-12.752	10.0	4.8	mb				0.85	us	usp0007rjm	2014-11-07T01:01:23.372Z	Ascension Island region	earthquake				18.0	reviewed	us	us
1054	1996-10-17T13:58:11.490Z	-6.104	105.44	33.0	4.7	mb				0.93	us	usp0007rjh	2014-11-07T01:01:23.364Z	Sunda Strait, Indonesia	earthquake				8.0	reviewed	us	us
1055	1996-10-17T13:51:49.110Z	16.71	-98.731	33.0	4.5	mb				0.94	us	usp0007rjg	2014-11-07T01:01:23.361Z	Guerrero, Mexico	earthquake				11.0	reviewed	us	us
1056	1996-10-17T08:41:27.960Z	34.433	32.138	33.0	4.6	mb				0.84	us	usp0007rj5	2014-11-07T01:01:23.308Z	Cyprus region	earthquake				20.0	reviewed	us	us
1057	1996-10-17T08:19:31.780Z	-0.551	136.73	33.0	4.5	mb				1.01	us	usp0007rj4	2014-11-07T01:01:23.306Z	Biak region, Indonesia	earthquake				4.0	reviewed	us	us
1058	1996-10-17T06:12:23.430Z	-32.745	-179.065	33.0	4.6	mb				0.91	us	usp0007rj1	2014-11-07T01:01:23.300Z	south of the Kermadec Islands	earthquake				1.0	reviewed	us	us
1059	1996-10-17T03:50:56.220Z	9.989	126.007	33.0	4.6	mb				1.17	us	usp0007rhy	2014-11-07T01:01:23.294Z	Mindanao, Philippines	earthquake				10.0	reviewed	us	us
1060	1996-10-17T03:33:29.080Z	-30.001	-177.329	33.0	4.8	mb				0.93	us	usp0007rhx	2014-11-07T01:01:23.292Z	Kermadec Islands, New Zealand	earthquake				7.0	reviewed	us	us
1061	1996-10-17T02:19:54.830Z	-6.962	155.098	33.0	4.5	mb				1.3	us	usp0007rhs	2014-11-07T01:01:23.277Z	Bougainville region, Papua New Guinea	earthquake				1.0	reviewed	us	us
1062	1996-10-16T19:15:19.130Z	26.555	130.221	40.4	4.5	mb				1.23	us	usp0007rhf	2014-11-07T01:01:23.252Z	southeast of the Ryukyu Islands, Japan	earthquake				5.0	reviewed	us	us
1063	1996-10-16T18:30:45.670Z	12.699	40.539	10.0	4.8	mb				0.68	us	usp0007rhc	2014-11-07T01:01:23.242Z	Ethiopia	earthquake				13.0	reviewed	us	us
1064	1996-10-16T15:48:12.290Z	-12.857	167.106	33.0	4.5	mb				1.08	us	usp0007rh6	2014-11-07T01:01:23.229Z	Santa Cruz Islands	earthquake				5.0	reviewed	us	us
1065	1996-10-16T14:35:30.030Z	-6.78	129.645	143.1	4.9	mb				1.17	us	usp0007rh3	2014-11-07T01:01:23.218Z	Banda Sea	earthquake		9.9		12.0	reviewed	us	us
1066	1996-10-16T11:47:53.500Z	9.569	126.522	33.0	5.1	mb				1.17	us	usp0007rgs	2014-11-07T01:01:23.185Z	Mindanao, Philippines	earthquake				28.0	reviewed	us	us
1067	1996-10-16T09:42:49.050Z	12.711	40.527	10.0	4.6	ms				1.13	us	usp0007rgn	2014-11-07T01:01:23.169Z	Ethiopia	earthquake				1.0	reviewed	us	us
1068	1996-10-16T08:42:12.390Z	13.924	-92.063	33.0	5.2	mwc				1.25	us	usp0007rgh	2016-11-09T23:44:09.630Z	offshore Guatemala	earthquake					reviewed	us	hrv
1069	1996-10-16T07:15:32.270Z	11.736	125.467	33.0	4.8	mb				0.9	us	usp0007rgf	2014-11-07T01:01:23.149Z	Samar, Philippines	earthquake				18.0	reviewed	us	us
1070	1996-10-16T05:43:47.150Z	32.724	141.861	10.0	4.6	mb				0.94	us	usp0007rgd	2014-11-07T01:01:23.137Z	Izu Islands, Japan region	earthquake				8.0	reviewed	us	us
1071	1996-10-16T04:33:51.570Z	64.144	-137.09	10.0	4.5	mb					us	usp0007rgc	2014-11-07T01:01:23.127Z	Southern Yukon Territory, Canada	earthquake				8.0	reviewed	pgc	us
1072	1996-10-16T04:09:59.940Z	-20.619	-178.744	600.0	4.6	mb				0.6	us	usp0007rg8	2014-11-07T01:01:23.110Z	Fiji region	earthquake				13.0	reviewed	us	us
1073	1996-10-16T01:19:18.500Z	-19.616	169.297	143.0	5.3	mb				1.23	us	usp0007rg2	2014-11-07T01:01:23.087Z	Vanuatu	earthquake				30.0	reviewed	us	us
1074	1996-10-16T00:38:01.530Z	-3.469	149.503	33.0	4.8	mb				1.19	us	usp0007rg1	2014-11-07T01:01:23.086Z	Bismarck Sea	earthquake				7.0	reviewed	us	us
1075	1996-10-15T20:20:08.080Z	51.719	-179.526	80.4	4.6	mb				0.95	us	usp0007rfq	2014-11-07T01:01:23.038Z	Andreanof Islands, Aleutian Islands, Alaska	earthquake		12.7		9.0	reviewed	us	us
1076	1996-10-15T19:29:58.390Z	-0.171	126.357	33.0	4.8	mb				1.05	us	usp0007rfj	2014-11-07T01:01:23.024Z	Molucca Sea	earthquake				7.0	reviewed	us	us
1077	1996-10-15T18:24:32.320Z	-7.213	155.782	33.0	4.6	mb				1.21	us	usp0007rfh	2014-11-07T01:01:23.021Z	Solomon Islands	earthquake				9.0	reviewed	us	us
1078	1996-10-15T17:29:57.140Z	12.507	142.675	129.8	5.1	mb				0.91	us	usp0007rfd	2014-11-07T01:01:22.995Z	Mariana Islands region	earthquake		9.0		17.0	reviewed	us	us
1079	1996-10-15T16:32:42.830Z	9.244	126.123	33.0	5.0	mb				1.09	us	usp0007rfb	2014-11-07T01:01:22.989Z	Mindanao, Philippines	earthquake				16.0	reviewed	us	us
1080	1996-10-15T16:01:42.260Z	20.815	121.282	33.0	4.5	mb				1.39	us	usp0007rf9	2014-11-07T01:01:22.983Z	Batan Islands region, Philippines	earthquake				6.0	reviewed	us	us
1081	1996-10-15T15:06:46.330Z	2.703	128.616	200.0	4.8	mb				0.94	us	usp0007rf6	2014-11-07T01:01:22.974Z	Halmahera, Indonesia	earthquake				11.0	reviewed	us	us
1082	1996-10-15T12:18:24.140Z	44.785	10.728	10.0	4.5	mb				1.25	us	usp0007rey	2014-11-07T01:01:22.935Z	northern Italy	earthquake				4.0	reviewed	us	us
1083	1996-10-15T10:19:43.670Z	44.754	10.743	10.0	4.7	ml				1.31	us	usp0007req	2014-11-07T01:01:22.908Z	northern Italy	earthquake					reviewed	us	grf
1084	1996-10-15T10:07:01.340Z	44.858	10.56	10.0	4.5	ml				1.09	us	usp0007ren	2014-11-07T01:01:22.897Z	northern Italy	earthquake					reviewed	us	grf
1085	1996-10-15T09:55:59.630Z	44.792	10.78	10.0	5.4	mwc				1.16	us	usp0007rem	2016-11-09T23:43:39.332Z	northern Italy	earthquake					reviewed	us	hrv
1086	1996-10-15T08:32:55.450Z	34.411	32.118	33.0	4.5	mb				1.11	us	usp0007reh	2014-11-07T01:01:22.808Z	Cyprus region	earthquake				7.0	reviewed	us	us
1087	1996-10-15T08:02:57.030Z	3.01	96.216	33.0	5.2	mb				0.99	us	usp0007reg	2014-11-07T01:01:22.799Z	northern Sumatra, Indonesia	earthquake				41.0	reviewed	us	us
1088	1996-10-15T05:32:07.790Z	81.347	119.334	10.0	4.6	mb				0.81	us	usp0007rea	2014-11-07T01:01:22.789Z	east of Severnaya Zemlya	earthquake				8.0	reviewed	us	us
1089	1996-10-15T00:22:38.820Z	43.705	147.106	33.0	5.5	mb				0.78	us	usp0007rdu	2014-11-07T01:01:22.738Z	Kuril Islands	earthquake				80.0	reviewed	us	us
1090	1996-10-14T23:26:20.010Z	-7.133	155.568	24.0	6.8	mwc				1.06	us	usp0007rdr	2020-01-03T21:25:15.549Z	Solomon Islands	earthquake					reviewed	us	hrv
1091	1996-10-14T21:11:23.120Z	-24.427	179.742	600.0	4.7	mb				0.44	us	usp0007rdm	2014-11-07T01:01:22.680Z	south of the Fiji Islands	earthquake				12.0	reviewed	us	us
1092	1996-10-14T18:52:16.120Z	26.567	142.263	33.0	4.5	mb				0.95	us	usp0007rdj	2014-11-07T01:01:22.675Z	Bonin Islands, Japan region	earthquake				4.0	reviewed	us	us
1093	1996-10-14T17:23:29.290Z	-13.764	167.609	33.0	4.5	mb				0.9	us	usp0007rdg	2014-11-07T01:01:22.671Z	Vanuatu	earthquake				4.0	reviewed	us	us
1094	1996-10-14T15:46:35.120Z	-7.009	154.832	33.0	4.5	mb				1.05	us	usp0007rdc	2014-11-07T01:01:22.665Z	Bougainville region, Papua New Guinea	earthquake				1.0	reviewed	us	us
1095	1996-10-14T14:49:38.070Z	-7.024	155.412	33.0	4.5	mb				1.5	us	usp0007rda	2014-11-07T01:01:22.646Z	Solomon Islands	earthquake				2.0	reviewed	us	us
1096	1996-10-14T14:12:11.750Z	-7.035	155.379	33.0	4.7	mb				1.15	us	usp0007rd8	2014-11-07T01:01:22.640Z	Solomon Islands	earthquake				12.0	reviewed	us	us
1097	1996-10-14T12:24:15.950Z	38.637	69.791	33.0	4.7	mb				0.62	us	usp0007rd6	2014-11-07T01:01:22.637Z	Tajikistan	earthquake				1.0	reviewed	us	us
1098	1996-10-14T07:01:34.050Z	-18.01	-178.542	598.5	4.7	mb				0.84	us	usp0007rcz	2014-11-07T01:01:22.620Z	Fiji region	earthquake		10.9		20.0	reviewed	us	us
1099	1996-10-14T03:05:37.370Z	-7.174	155.603	33.0	4.8	mb				1.05	us	usp0007rcv	2014-11-07T01:01:22.611Z	Solomon Islands	earthquake				14.0	reviewed	us	us
1100	1996-10-14T01:54:08.970Z	25.917	141.711	33.0	4.7	mb				0.38	us	usp0007rcs	2014-11-07T01:01:22.605Z	Volcano Islands, Japan region	earthquake				1.0	reviewed	us	us
1101	1996-10-14T01:42:45.300Z	-4.361	127.211	20.0	4.6	mb				0.88	us	usp0007rcr	2014-11-07T01:01:22.602Z	Banda Sea	earthquake				10.0	reviewed	us	us
1102	1996-10-14T00:20:41.960Z	-7.188	155.369	33.0	4.6	mb				1.12	us	usp0007rcp	2014-11-07T01:01:22.597Z	Solomon Islands	earthquake				8.0	reviewed	us	us
1103	1996-10-14T00:07:58.050Z	-7.228	155.488	33.0	5.9	mwc				1.18	us	usp0007rcm	2020-01-03T21:25:01.001Z	Solomon Islands	earthquake					reviewed	us	hrv
1104	1996-10-13T21:12:57.470Z	9.668	126.956	33.0	4.7	mb				1.53	us	usp0007rce	2014-11-07T01:01:22.568Z	Mindanao, Philippines	earthquake				1.0	reviewed	us	us
1105	1996-10-13T20:56:12.940Z	52.628	160.517	33.0	5.1	mwc				0.88	us	usp0007rcd	2016-11-09T23:42:51.549Z	off the east coast of the Kamchatka Peninsula, Russia	earthquake					reviewed	us	hrv
1106	1996-10-13T16:17:01.620Z	9.606	126.424	33.0	4.7	mb				1.02	us	usp0007rc8	2014-11-07T01:01:22.530Z	Mindanao, Philippines	earthquake				18.0	reviewed	us	us
1107	1996-10-13T15:40:51.220Z	-17.607	-175.089	201.9	4.5	mb				0.63	us	usp0007rc6	2014-11-07T01:01:22.524Z	Tonga	earthquake		10.3		13.0	reviewed	us	us
1108	1996-10-13T14:39:36.380Z	6.104	124.53	33.0	4.6	mb				1.0	us	usp0007rc4	2014-11-07T01:01:22.519Z	Mindanao, Philippines	earthquake				7.0	reviewed	us	us
1109	1996-10-13T11:12:43.090Z	-5.338	146.771	33.0	4.6	mb				1.13	us	usp0007rbx	2014-11-07T01:01:22.504Z	eastern New Guinea region, Papua New Guinea	earthquake				5.0	reviewed	us	us
1110	1996-10-13T10:45:49.160Z	9.851	126.332	33.0	4.9	mb				0.89	us	usp0007rbt	2014-11-07T01:01:22.495Z	Mindanao, Philippines	earthquake				18.0	reviewed	us	us
1111	1996-10-13T07:35:05.970Z	12.837	40.579	33.0	4.7	ms				1.0	us	usp0007rbm	2014-11-07T01:01:22.483Z	Ethiopia	earthquake				3.0	reviewed	us	us
1112	1996-10-13T07:03:52.330Z	-19.212	-175.808	200.0	4.6	mb				0.98	us	usp0007rbj	2014-11-07T01:01:22.478Z	Tonga	earthquake				11.0	reviewed	us	us
1113	1996-10-13T02:04:44.610Z	-7.309	155.282	33.0	4.6	mb				0.96	us	usp0007rba	2014-11-07T01:01:22.430Z	Solomon Islands	earthquake				7.0	reviewed	us	us
1114	1996-10-13T01:29:06.240Z	-7.228	155.351	33.0	5.8	mwc				1.11	us	usp0007rb7	2020-01-03T21:24:47.704Z	Solomon Islands	earthquake					reviewed	us	hrv
1115	1996-10-13T01:19:05.840Z	24.996	128.072	39.8	4.7	mb				0.99	us	usp0007rb6	2014-11-07T01:01:22.409Z	southeast of the Ryukyu Islands, Japan	earthquake				12.0	reviewed	us	us
1116	1996-10-12T22:34:20.020Z	-21.652	-113.626	10.0	4.9	ms				1.02	us	usp0007rb1	2014-11-07T01:01:22.387Z	southern East Pacific Rise	earthquake				1.0	reviewed	us	us
1117	1996-10-12T19:04:22.710Z	5.334	127.47	33.0	4.9	mb				1.04	us	usp0007rax	2014-11-07T01:01:22.378Z	Philippine Islands region	earthquake				13.0	reviewed	us	us
1118	1996-10-12T18:27:10.230Z	-7.281	155.393	33.0	5.9	mwc				0.96	us	usp0007raw	2020-01-03T21:24:34.076Z	Solomon Islands	earthquake					reviewed	us	hrv
1119	1996-10-12T17:50:26.970Z	34.374	32.276	33.0	4.6	mb				0.9	us	usp0007rau	2014-11-07T01:01:22.348Z	Cyprus region	earthquake				43.0	reviewed	us	us
1120	1996-10-12T15:51:59.520Z	0.839	120.171	33.0	4.8	mb				0.75	us	usp0007rar	2014-11-07T01:01:22.245Z	Minahasa, Sulawesi, Indonesia	earthquake				18.0	reviewed	us	us
1121	1996-10-12T15:36:01.270Z	-7.25	155.471	33.0	6.1	mwc				1.16	us	usp0007rap	2020-01-03T21:24:19.310Z	Solomon Islands	earthquake					reviewed	us	hrv
1122	1996-10-12T12:40:09.700Z	35.983	139.581	95.2	4.5	mb				1.0	us	usp0007rae	2014-11-07T01:01:22.203Z	near the south coast of Honshu, Japan	earthquake		6.0		3.0	reviewed	us	us
1123	1996-10-12T11:48:24.910Z	-18.629	-173.171	33.0	5.0	ms				1.36	us	usp0007rac	2014-11-07T01:01:22.191Z	Tonga	earthquake				2.0	reviewed	us	us
1124	1996-10-12T11:36:25.100Z	36.058	139.489	100.4	4.9	mb				0.89	us	usp0007raa	2014-11-07T01:01:22.177Z	eastern Honshu, Japan	earthquake		4.3		46.0	reviewed	us	us
1125	1996-10-12T11:04:36.340Z	34.543	32.129	33.0	4.6	mb				1.01	us	usp0007ra8	2014-11-07T01:01:22.167Z	Cyprus region	earthquake				37.0	reviewed	us	us
1126	1996-10-12T10:37:09.310Z	-32.77	-177.946	33.0	4.6	mb				1.0	us	usp0007ra7	2014-11-07T01:01:22.164Z	south of the Kermadec Islands	earthquake				7.0	reviewed	us	us
1127	1996-10-12T08:54:16.910Z	-50.101	119.941	10.0	4.6	mb				1.21	us	usp0007ra4	2014-11-07T01:01:22.153Z	western Indian-Antarctic Ridge	earthquake				10.0	reviewed	us	us
1128	1996-10-12T07:22:10.880Z	0.741	126.351	33.0	4.9	mb				0.9	us	usp0007ra2	2014-11-07T01:01:22.149Z	Molucca Sea	earthquake				10.0	reviewed	us	us
1129	1996-10-12T05:44:50.190Z	-10.672	-75.414	33.0	4.6	mb				0.99	us	usp0007r9z	2014-11-07T01:01:22.140Z	central Peru	earthquake				1.0	reviewed	us	us
